shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
6525439,5.848111,-73.0359751,0
6525439,5.8479496,-73.035948,1
6525439,5.8476788,-73.0359016,2
6525439,5.8475347,-73.0358943,3
6525439,5.8473932,-73.0359131,4
6525439,5.8472985,-73.035944,5
6525439,5.8471824,-73.0359882,6
6525439,5.8468996,-73.0360955,7
6525439,5.8465367,-73.0361934,8
6525439,5.846366,-73.0362189,9
6525439,5.8457763,-73.0361934,10
6525439,5.8452146,-73.036121,11
6525439,5.8446463,-73.0360861,12
6525439,5.8443161,-73.0359606,13
6525439,5.8440437,-73.0358888,14
6525439,5.8437078,-73.0358137,15
6525439,5.8436512,-73.0358021,16
6525439,5.843536,-73.0357784,17
6525439,5.8433473,-73.035753,18
6525439,5.8432943,-73.0357363,19
6525439,5.8430285,-73.0356527,20
6525439,5.8427895,-73.0356266,21
6525439,5.842705,-73.0356174,22
6525439,5.8424088,-73.0355714,23
6525439,5.8420126,-73.0355601,24
6525439,5.8422749,-73.0361024,25
6525439,5.8415768,-73.0360256,26
6525439,5.8409726,-73.0359559,27
6525439,5.8403794,-73.0358903,28
6525439,5.8398452,-73.0358364,29
6525439,5.8395843,-73.0358163,30
6525439,5.8393131,-73.0357909,31
6525439,5.8391757,-73.0357882,32
6525439,5.8389576,-73.0357599,33
6525439,5.8384957,-73.0356541,34
6525439,5.837933,-73.0356053,35
6525439,5.837279,-73.0355492,36
6525439,5.8369045,-73.035517,37
6525439,5.8362738,-73.0354405,38
6525439,5.8361728,-73.0354233,39
6525439,5.8351762,-73.0352953,40
6525439,5.83498,-73.0362229,41
6525439,5.834687,-73.0361718,42
6525439,5.8342861,-73.0360959,43
6525439,5.8340946,-73.0360599,44
6525439,5.8336103,-73.0358573,45
6525439,5.8332329,-73.0365388,46
6525439,5.8330828,-73.0367789,47
6525439,5.832818,-73.0371227,48
6525439,5.8326927,-73.0372778,49
6525439,5.8326694,-73.0372609,50
6525439,5.8326387,-73.0372459,51
6525439,5.8323374,-73.0370609,52
6525439,5.8320422,-73.0368862,53
6525439,5.8320014,-73.0368623,54
6525439,5.8315588,-73.0366013,55
6525439,5.8309476,-73.0362259,56
6525439,5.8305286,-73.0359619,57
6525439,5.8304081,-73.0358927,58
6525439,5.8301594,-73.0357297,59
6525439,5.8299401,-73.0355993,60
6525439,5.8297713,-73.0354989,61
6525439,5.8294314,-73.0353156,62
6525439,5.8298617,-73.0346422,63
6525439,5.8302832,-73.0339502,64
6525439,5.8305196,-73.0335725,65
6525439,5.830727,-73.0332252,66
6525439,5.829867,-73.0327522,67
6525439,5.8290851,-73.0323033,68
6525439,5.8283603,-73.0318896,69
6525439,5.8279456,-73.031624,70
6525439,5.8276423,-73.0314298,71
6525439,5.8269106,-73.0309814,72
6525439,5.8264684,-73.0318294,73
6525439,5.8261288,-73.0324609,74
6525439,5.8257057,-73.0332008,75
6525439,5.8255016,-73.0336148,76
6525439,5.825301,-73.033992,77
6525439,5.8249411,-73.0346558,78
6525439,5.8247736,-73.0350207,79
6525439,5.8246061,-73.0353453,80
6525439,5.824448,-73.0356506,81
6525439,5.8242604,-73.0360128,82
6525439,5.8240243,-73.0364308,83
6525439,5.8236655,-73.0370641,84
6525439,5.8232295,-73.0378486,85
6525439,5.8231916,-73.0379085,86
6525439,5.8231645,-73.0379512,87
6525439,5.8221408,-73.0372749,88
6525439,5.8214359,-73.036821,89
6525439,5.821353,-73.0367676,90
6525439,5.8212142,-73.036676,91
6525439,5.820734,-73.0363654,92
6525439,5.8199997,-73.0359002,93
6525439,5.8199032,-73.0358386,94
6525439,5.8195283,-73.035586,95
6525439,5.8192145,-73.0353783,96
6525439,5.8187395,-73.0350689,97
6525439,5.8177892,-73.0344652,98
6525439,5.8177475,-73.0344354,99
6525439,5.8170756,-73.0339692,100
6525439,5.8165224,-73.0336067,101
6525439,5.8165051,-73.0335959,102
6525439,5.81649,-73.0335852,103
6525439,5.8164304,-73.0335435,104
6525439,5.8163709,-73.0335053,105
6525439,5.8153925,-73.0328647,106
6525439,5.8152846,-73.0327926,107
6525439,5.8147365,-73.0324343,108
6525439,5.8147077,-73.0324182,109
6525439,5.8146601,-73.0323846,110
6525439,5.8143998,-73.0322184,111
6525439,5.8138002,-73.0318355,112
6525439,5.8137387,-73.0317962,113
6525439,5.8135148,-73.0316653,114
6525439,5.8134534,-73.0316283,115
6525439,5.8133548,-73.0315584,116
6525439,5.8132132,-73.0314834,117
6525439,5.8131532,-73.0314636,118
6525439,5.8131336,-73.031468,119
6525439,5.8131135,-73.0314695,120
6525439,5.8130935,-73.031468,121
6525439,5.8130739,-73.0314635,122
6525439,5.8130552,-73.0314562,123
6525439,5.8130378,-73.0314462,124
6525439,5.813015,-73.0314267,125
6525439,5.8129969,-73.0314027,126
6525439,5.8129846,-73.0313753,127
6525439,5.8129785,-73.0313458,128
6525439,5.812979,-73.0313157,129
6525439,5.8129813,-73.0313029,130
6525439,5.8129364,-73.0312803,131
6525439,5.8129031,-73.0312611,132
6525439,5.812837,-73.0312219,133
6525439,5.8127556,-73.031171,134
6525439,5.8125946,-73.03105,135
6525439,5.8124353,-73.0309439,136
6525439,5.8123044,-73.0308633,137
6525439,5.8111116,-73.0301141,138
6525439,5.8088124,-73.0286014,139
6525439,5.8071633,-73.0275319,140
6525439,5.8070639,-73.0274733,141
6525439,5.807096,-73.0273262,142
6525439,5.8072266,-73.0267706,143
6525439,5.8074571,-73.0257362,144
6525439,5.8076234,-73.0250135,145
6525439,5.8077262,-73.0245451,146
6525439,5.8078649,-73.02395,147
6525439,5.8079537,-73.0235951,148
6525439,5.8081042,-73.0228571,149
6525439,5.808125,-73.022769,150
6525439,5.8083693,-73.021617,151
6525439,5.8086322,-73.0204575,152
6525439,5.8087846,-73.0197802,153
6525439,5.8080056,-73.0191029,154
6525439,5.8076342,-73.0188847,155
6525439,5.8069206,-73.0184791,156
6525439,5.8062195,-73.018089,157
6537339,5.8062195,-73.018089,0
6537339,5.8065927,-73.0175152,1
6537339,5.8070963,-73.0167688,2
6537339,5.8077533,-73.0172278,3
6537339,5.8084427,-73.0176926,4
6537339,5.8079804,-73.0183831,5
6537339,5.8076342,-73.0188847,6
6537339,5.8080056,-73.0191029,7
6537339,5.8087846,-73.0197802,8
6537339,5.8088191,-73.0198166,9
6537339,5.8088654,-73.0198648,10
6537339,5.8087296,-73.0204977,11
6537339,5.8084737,-73.0216656,12
6537339,5.8082031,-73.0228836,13
6537339,5.8081973,-73.0229187,14
6537339,5.8079559,-73.0239873,15
6537339,5.8077834,-73.0247286,16
6537339,5.8077111,-73.025036,17
6537339,5.8075624,-73.0257242,18
6537339,5.8073194,-73.0268269,19
6537339,5.8071955,-73.0273788,20
6537339,5.8074056,-73.0275135,21
6537339,5.8074787,-73.0275618,22
6537339,5.8088354,-73.0284734,23
6537339,5.8095892,-73.028962,24
6537339,5.8111521,-73.0299809,25
6537339,5.8116977,-73.0303214,26
6537339,5.8120259,-73.0305638,27
6537339,5.8121844,-73.0306625,28
6537339,5.8125196,-73.0308616,29
6537339,5.8127541,-73.0310117,30
6537339,5.8128837,-73.0310945,31
6537339,5.812961,-73.0311294,32
6537339,5.8130211,-73.0311522,33
6537339,5.8130568,-73.0311667,34
6537339,5.8131142,-73.0311967,35
6537339,5.8131302,-73.0311977,36
6537339,5.8131459,-73.0312006,37
6537339,5.8131611,-73.0312053,38
6537339,5.8131757,-73.0312118,39
6537339,5.8132032,-73.0312306,40
6537339,5.8132253,-73.0312556,41
6537339,5.8132407,-73.0312853,42
6537339,5.8132485,-73.0313178,43
6537339,5.8132493,-73.0313291,44
6537339,5.8132491,-73.0313405,45
6537339,5.8133727,-73.0314097,46
6537339,5.8134907,-73.0314962,47
6537339,5.8136475,-73.0316088,48
6537339,5.8136734,-73.031628,49
6537339,5.8137827,-73.0317204,50
6537339,5.813863,-73.0317711,51
6537339,5.8147917,-73.0323574,52
6537339,5.8153352,-73.0327144,53
6537339,5.8157189,-73.0329602,54
6537339,5.8164892,-73.0334627,55
6537339,5.8165523,-73.0335031,56
6537339,5.8165853,-73.0335243,57
6537339,5.8171553,-73.0338912,58
6537339,5.8178785,-73.034371,59
6537339,5.8179133,-73.0343935,60
6537339,5.8188519,-73.0349997,61
6537339,5.8192853,-73.0352799,62
6537339,5.8200495,-73.0357712,63
6537339,5.8207885,-73.0362563,64
6537339,5.8214712,-73.0366826,65
6537339,5.8215063,-73.0367045,66
6537339,5.8222013,-73.0371807,67
6537339,5.8226864,-73.0364134,68
6537339,5.822923,-73.0360377,69
6537339,5.8232614,-73.0354548,70
6537339,5.8236427,-73.034839,71
6537339,5.8238511,-73.0345,72
6537339,5.8240643,-73.0341373,73
6537339,5.8244535,-73.0334975,74
6537339,5.8249048,-73.0327409,75
6537339,5.8251156,-73.0323578,76
6537339,5.8253384,-73.031991,77
6537339,5.8257459,-73.0313643,78
6537339,5.8264466,-73.0317849,79
6537339,5.8264684,-73.0318294,80
6537339,5.8264852,-73.0318587,81
6537339,5.8272114,-73.032236,82
6537339,5.8279867,-73.0326401,83
6537339,5.8286982,-73.0330427,84
6537339,5.829461,-73.0334656,85
6537339,5.8300077,-73.0337728,86
6537339,5.8302832,-73.0339502,87
6537339,5.831029,-73.0343829,88
6537339,5.8305924,-73.035049,89
6537339,5.830975,-73.0352746,90
6537339,5.8313893,-73.0354956,91
6537339,5.8319774,-73.035832,92
6537339,5.8324619,-73.03612,93
6537339,5.8331716,-73.0364982,94
6537339,5.8332329,-73.0365388,95
6537339,5.8335753,-73.0366705,96
6537339,5.8338948,-73.0367439,97
6537339,5.8340027,-73.0367645,98
6537339,5.8340946,-73.0360599,99
6537339,5.8342861,-73.0360959,100
6537339,5.834687,-73.0361718,101
6537339,5.83498,-73.0362229,102
6537339,5.8351762,-73.0352953,103
6537339,5.8352486,-73.0349193,104
6537339,5.8353946,-73.0341613,105
6537339,5.8360188,-73.0342841,106
6537339,5.8364705,-73.0343674,107
6537339,5.8374107,-73.0345012,108
6537339,5.837616,-73.0345304,109
6537339,5.8377912,-73.0345553,110
6537339,5.8380617,-73.0345996,111
6537339,5.8386013,-73.0346798,112
6537339,5.8387347,-73.0347002,113
6537339,5.8390542,-73.0347556,114
6537339,5.8400607,-73.0348728,115
6537339,5.84012,-73.0348783,116
6537339,5.8405107,-73.0349369,117
6537339,5.8408703,-73.0350223,118
6537339,5.8411128,-73.0351002,119
6537339,5.841353,-73.0351762,120
6537339,5.8416363,-73.0352468,121
6537339,5.8417672,-73.0352931,122
6537339,5.8418935,-73.0353502,123
6537339,5.8419468,-73.0354285,124
6537339,5.8420126,-73.0355601,125
6537339,5.8424088,-73.0355714,126
6537339,5.842705,-73.0356174,127
6537339,5.8427895,-73.0356266,128
6537339,5.8430285,-73.0356527,129
6537339,5.8432943,-73.0357363,130
6537339,5.8433473,-73.035753,131
6537339,5.843536,-73.0357784,132
6537339,5.8436512,-73.0358021,133
6537339,5.8437078,-73.0358137,134
6537339,5.8440437,-73.0358888,135
6537339,5.8443161,-73.0359606,136
